#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), S11re (), S11im (), S11dB (dB), S11Ph (rad), S22re (), S22im (), S22dB (dB), S22Ph (rad), Power (dBm)
5.1146160000e+09, 2.2225920000e-03, -4.0265860000e-03, -4.6746216657e+01, -1.8671724710e+03, 1.2666260000e-02, -3.5047300000e-02, -2.8573767475e+01, -1.2239977391e+00, 1.6842220000e-02, -3.5252910000e-02, -2.8163236653e+01, -1.0755497909e+03, 0.0000000000e+00
5.1173140000e+09, -2.1973280000e-03, -4.1432070000e-03, -4.6576875930e+01, -1.8681644602e+03, 1.2873930000e-02, -3.5169200000e-02, -2.8530628516e+01, -1.2198890992e+00, 3.9317030000e-04, -5.2580880000e-02, -2.5583200179e+01, -1.0759880066e+03, 0.0000000000e+00
5.1200120000e+09, -4.6825100000e-03, -5.5197340000e-04, -4.6530493131e+01, -1.8691302906e+03, 1.3037520000e-02, -3.5301110000e-02, -2.8488921862e+01, -1.2170118146e+00, -2.1828860000e-02, -5.3631860000e-02, -2.4745825680e+01, -1.0763820212e+03, 0.0000000000e+00
5.1227100000e+09, -2.9717360000e-03, 3.6851570000e-03, -4.6495271961e+01, -1.8701397898e+03, 1.3033890000e-02, -3.5474660000e-02, -2.8451702894e+01, -1.2186928448e+00, -3.8448050000e-02, -4.0059270000e-02, -2.5110268047e+01, -1.0767603617e+03, 0.0000000000e+00
5.1254080000e+09, 1.3896920000e-03, 4.4667310000e-03, -4.6598945352e+01, -1.8711200529e+03, 1.3113540000e-02, -3.5602840000e-02, -2.8417801405e+01, -1.2178874490e+00, -4.2667920000e-02, -1.9401380000e-02, -2.6581768731e+01, -1.0771395192e+03, 0.0000000000e+00
5.1281060000e+09, 4.5014830000e-03, 1.2373600000e-03, -4.6616549039e+01, -1.8721209685e+03, 1.2977140000e-02, -3.5770190000e-02, -2.8392576360e+01, -1.2227712468e+00, -3.2983050000e-02, -1.2630760000e-04, -2.9634120049e+01, -1.0775624507e+03, 0.0000000000e+00
5.1308040000e+09, 3.4513260000e-03, -2.9695420000e-03, -4.6834042417e+01, -1.8730997260e+03, 1.3058930000e-02, -3.5648930000e-02, -2.8412209470e+01, -1.2196568045e+00, -1.2609930000e-02, 9.6192630000e-03, -3.5993919847e+01, -1.0782179436e+03, 0.0000000000e+00
5.1335020000e+09, -6.6659320000e-04, -4.6495900000e-03, -4.6563347724e+01, -1.8741024136e+03, 1.3041800000e-02, -3.5705010000e-02, -2.8401513025e+01, -1.2205874102e+00, 1.0964980000e-02, 3.9806470000e-03, -3.8662173901e+01, -1.0803596350e+03, 0.0000000000e+00
5.1362000000e+09, -4.1623580000e-03, -2.0788460000e-03, -4.6646057976e+01, -1.8750676151e+03, 1.2977710000e-02, -3.5816580000e-02, -2.8382582581e+01, -1.2231724808e+00, 2.5967940000e-02, -1.7610960000e-02, -3.0067931817e+01, -1.0813038045e+03, 0.0000000000e+00
5.1388980000e+09, -4.0181390000e-03, 2.4658230000e-03, -4.6531440813e+01, -1.8760812267e+03, 1.3002670000e-02, -3.5627100000e-02, -2.8421324991e+01, -1.2208517268e+00, 2.1339340000e-02, -4.5211560000e-02, -2.6021550967e+01, -1.0818376807e+03, 0.0000000000e+00
5.1415960000e+09, -2.5517340000e-04, 4.6922470000e-03, -4.6559557853e+01, -1.8770472821e+03, 1.3148890000e-02, -3.5603440000e-02, -2.8414872656e+01, -1.2170189202e+00, -3.2683490000e-03, -6.2012430000e-02, -2.4138377941e+01, -1.0823313252e+03, 0.0000000000e+00
5.1442940000e+09, 3.8031850000e-03, 2.6530350000e-03, -4.6675047652e+01, -1.8780633053e+03, 1.3410150000e-02, -3.5533610000e-02, -2.8408933421e+01, -1.2099289835e+00, -3.4402630000e-02, -5.4889200000e-02, -2.3771267203e+01, -1.0828385367e+03, 0.0000000000e+00
5.1469920000e+09, 4.3341480000e-03, -1.6856590000e-03, -4.6650180750e+01, -1.8790433296e+03, 1.3618190000e-02, -3.5683260000e-02, -2.8360190883e+01, -1.2062162826e+00, -5.0733580000e-02, -2.5070650000e-02, -2.4945198620e+01, -1.0833904985e+03, 0.0000000000e+00
5.1496900000e+09, 1.0087120000e-03, -4.4977040000e-03, -4.6727056286e+01, -1.8800225811e+03, 1.3753740000e-02, -3.5796820000e-02, -2.8325120281e+01, -1.2039697510e+00, -3.8599510000e-02, 8.8723350000e-03, -2.8044765762e+01, -1.0840753973e+03, 0.0000000000e+00
5.1523880000e+09, -3.2604620000e-03, -3.3739940000e-03, -4.6572922004e+01, -1.8810114905e+03, 1.3821030000e-02, -3.6218020000e-02, -2.8231086848e+01, -1.2062463184e+00, -3.7872440000e-03, 2.3211260000e-02, -3.2571917812e+01, -1.0852585230e+03, 0.0000000000e+00
5.1550860000e+09, -4.6091840000e-03, 7.8605240000e-04, -4.6603010611e+01, -1.8819829149e+03, 1.3616390000e-02, -3.6303550000e-02, -2.8229387948e+01, -1.2119638654e+00, 3.1331930000e-02, 6.5847440000e-03, -2.9892555046e+01, -1.0867839119e+03, 0.0000000000e+00
5.1577840000e+09, -1.9191340000e-03, 4.3168800000e-03, -4.6513344476e+01, -1.8829664708e+03, 1.3444930000e-02, -3.6279690000e-02, -2.8247834074e+01, -1.2158965906e+00, 4.2865320000e-02, -3.1035390000e-02, -2.5527440942e+01, -1.0876177243e+03, 0.0000000000e+00
5.1604820000e+09, 2.6087060000e-03, 3.9120780000e-03, -4.6554171252e+01, -1.8839729142e+03, 1.3418290000e-02, -3.5970100000e-02, -2.8315323935e+01, -1.2137450239e+00, 2.2715150000e-02, -6.5006650000e-02, -2.3240528675e+01, -1.0882256892e+03, 0.0000000000e+00
5.1631800000e+09, 4.6548770000e-03, -8.3752910000e-05, -4.6640430090e+01, -1.8849735827e+03, 1.3546220000e-02, -3.5865340000e-02, -2.8327350527e+01, -1.2096635387e+00, -1.5490060000e-02, -7.2919870000e-02, -2.2551401124e+01, -1.0887711688e+03, 0.0000000000e+00
5.1658780000e+09, 2.6441980000e-03, -3.8394720000e-03, -4.6628737595e+01, -1.8859232949e+03, 1.3937720000e-02, -3.5732750000e-02, -2.8323609157e+01, -1.1988929473e+00, -4.6066080000e-02, -5.1090530000e-02, -2.3249253470e+01, -1.0892955837e+03, 0.0000000000e+00
5.1685760000e+09, -1.8744010000e-03, -4.2841060000e-03, -4.6602119206e+01, -1.8869388194e+03, 1.4236750000e-02, -3.6020920000e-02, -2.8238532335e+01, -1.1944039250e+00, -5.1241400000e-02, -1.6094940000e-02, -2.5398951048e+01, -1.0898283087e+03, 0.0000000000e+00
